epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9502,2.71673,12.3833,0.92712,0.56228,0.43636,0.35733,0.12462,0.437,29.8234,0.16488,0.000663043,0.000663043,0.000663043
2,29.2127,2.66352,4.11173,0.91028,0.54145,0.35455,0.36397,0.11467,0.48424,0.99554,0.1757,0.00131655,0.00131655,0.00131655
3,42.3551,2.6933,2.18146,0.92961,0.62512,0.46364,0.46016,0.13991,0.47233,8.29311,0.16391,0.00195685,0.00195685,0.00195685
4,55.3136,2.54303,1.70058,0.91525,0.56357,0.50909,0.48955,0.16478,0.45705,6.58724,0.1651,0.0019406,0.0019406,0.0019406
5,68.4754,2.5071,1.46581,0.8807,0.61479,0.6,0.54649,0.18501,0.43381,2.45995,0.16203,0.0019208,0.0019208,0.0019208
6,81.3505,2.43958,1.45632,0.8837,0.6949,0.43636,0.47129,0.15694,0.43124,0.69269,0.16243,0.001901,0.001901,0.001901
7,94.2881,2.32957,1.31153,0.86734,0.72568,0.48182,0.53557,0.25253,0.37253,6.14354,0.15196,0.0018812,0.0018812,0.0018812
8,107.187,2.31555,1.31474,0.87355,0.6909,0.60909,0.59176,0.22011,0.41724,0.75458,0.15964,0.0018614,0.0018614,0.0018614
9,120.076,2.34959,1.24182,0.86846,0.78913,0.64545,0.71735,0.26688,0.38776,1.5003,0.15425,0.0018416,0.0018416,0.0018416
10,131.704,2.26452,1.2232,0.8796,0.82621,0.64831,0.75543,0.33177,0.38389,0.35691,0.16102,0.0018218,0.0018218,0.0018218
11,143.466,2.18691,1.15544,0.85472,0.7881,0.67625,0.74437,0.30827,0.37524,15.8354,0.1531,0.001802,0.001802,0.001802
12,155.86,2.17561,1.1299,0.86778,0.50201,0.50909,0.52507,0.22896,0.36848,18.6183,0.15385,0.0017822,0.0017822,0.0017822
13,168.782,2.21472,1.10705,0.85563,0.81639,0.68716,0.74488,0.33234,0.36742,1.29688,0.14909,0.0017624,0.0017624,0.0017624
14,181.623,2.09682,1.03974,0.85787,0.85582,0.71818,0.75286,0.33373,0.36829,30.2157,0.15431,0.0017426,0.0017426,0.0017426
15,194.606,2.20645,1.08603,0.8611,0.76346,0.66364,0.71639,0.31979,0.36846,1.5396,0.15322,0.0017228,0.0017228,0.0017228
16,207.595,2.15353,1.0481,0.85432,0.75576,0.75455,0.77837,0.35905,0.35281,2.65606,0.15477,0.001703,0.001703,0.001703
17,220.416,2.15037,1.06308,0.85091,0.80787,0.64987,0.67927,0.32018,0.37493,11.5645,0.15373,0.0016832,0.0016832,0.0016832
18,233.38,2.08454,1.00203,0.84519,0.78119,0.74648,0.77995,0.39444,0.32454,32.6016,0.14837,0.0016634,0.0016634,0.0016634
19,246.248,2.06914,1.00318,0.84269,0.8364,0.74545,0.81129,0.36206,0.35583,1.56614,0.15074,0.0016436,0.0016436,0.0016436
20,259.111,2.04572,0.98065,0.83947,0.83174,0.71899,0.72374,0.34171,0.35472,20.3334,0.15221,0.0016238,0.0016238,0.0016238
21,272.117,2.06503,1.02197,0.85469,0.84381,0.78584,0.86028,0.39455,0.34867,0.19479,0.14777,0.001604,0.001604,0.001604
22,284.956,2.02249,0.94599,0.85016,0.86393,0.80809,0.83672,0.40315,0.33705,14.5653,0.14761,0.0015842,0.0015842,0.0015842
23,296.624,1.98186,0.93439,0.85138,0.87474,0.76182,0.80137,0.38557,0.33788,21.2128,0.14781,0.0015644,0.0015644,0.0015644
24,308.156,2.04255,0.91303,0.83048,0.84047,0.7184,0.83279,0.4191,0.33038,1.21302,0.14984,0.0015446,0.0015446,0.0015446
25,320.451,1.97947,0.91391,0.83979,0.80173,0.80909,0.82193,0.4008,0.33597,1.27334,0.1489,0.0015248,0.0015248,0.0015248
26,333.378,2.01753,0.93578,0.8375,0.79965,0.72571,0.80821,0.37035,0.34528,20.4079,0.14919,0.001505,0.001505,0.001505
27,346.46,1.99646,0.92386,0.84183,0.78467,0.76193,0.78166,0.37014,0.348,15.4452,0.15089,0.0014852,0.0014852,0.0014852
28,359.375,1.9872,0.88452,0.83194,0.81729,0.80909,0.80366,0.41624,0.32506,11.0422,0.1464,0.0014654,0.0014654,0.0014654
29,372.441,1.93728,0.86842,0.82548,0.6143,0.75292,0.59978,0.29447,0.33055,43.9158,0.14525,0.0014456,0.0014456,0.0014456
30,385.34,1.93711,0.86998,0.83877,0.82953,0.75203,0.79042,0.38941,0.31448,25.2333,0.14898,0.0014258,0.0014258,0.0014258
31,398.175,1.93439,0.85221,0.82503,0.81025,0.69875,0.7537,0.37254,0.32659,25.9212,0.14531,0.001406,0.001406,0.001406
32,411.001,1.934,0.85621,0.83309,0.93234,0.75455,0.80075,0.41659,0.31601,40.1287,0.14631,0.0013862,0.0013862,0.0013862
33,423.961,1.90723,0.83389,0.83823,0.88654,0.8,0.80238,0.37991,0.33389,39.1917,0.15117,0.0013664,0.0013664,0.0013664
34,436.851,1.88042,0.84407,0.8249,0.64896,0.76364,0.64687,0.30314,0.34231,129.422,0.15132,0.0013466,0.0013466,0.0013466
35,449.709,1.91092,0.82388,0.82407,0.93735,0.83636,0.87239,0.4016,0.3206,43.6653,0.14679,0.0013268,0.0013268,0.0013268
36,461.451,1.8942,0.82351,0.82225,0.74936,0.81541,0.78442,0.40552,0.30886,88.7381,0.14802,0.001307,0.001307,0.001307
37,473.108,1.88801,0.82602,0.82636,0.90951,0.80909,0.8541,0.44192,0.29934,21.2394,0.14672,0.0012872,0.0012872,0.0012872
38,485.458,1.88199,0.79213,0.83286,0.83768,0.73636,0.78545,0.40287,0.32373,55.0989,0.14917,0.0012674,0.0012674,0.0012674
39,498.431,1.87673,0.80859,0.83668,0.82723,0.78352,0.84535,0.44693,0.29065,28.7432,0.14323,0.0012476,0.0012476,0.0012476
40,511.29,1.8405,0.77787,0.82998,0.69115,0.79091,0.70771,0.36795,0.31232,46.3751,0.14476,0.0012278,0.0012278,0.0012278
41,524.294,1.81229,0.7808,0.8112,0.7382,0.79468,0.77996,0.38925,0.32185,67.5179,0.14549,0.001208,0.001208,0.001208
42,537.183,1.84131,0.79058,0.82362,0.93338,0.83636,0.88571,0.4628,0.30513,15.8196,0.14316,0.0011882,0.0011882,0.0011882
43,550.18,1.86602,0.77888,0.81954,0.84936,0.82727,0.86685,0.43187,0.30708,5.8064,0.14482,0.0011684,0.0011684,0.0011684
44,563.182,1.84824,0.76031,0.81706,0.86927,0.84627,0.87901,0.45062,0.29531,26.7949,0.14353,0.0011486,0.0011486,0.0011486
45,576.147,1.80157,0.76168,0.82524,0.7888,0.80909,0.84369,0.44198,0.30092,7.77625,0.144,0.0011288,0.0011288,0.0011288
46,589.092,1.81224,0.76045,0.82107,0.68656,0.85455,0.7684,0.40946,0.29843,8.82173,0.14415,0.001109,0.001109,0.001109
47,601.855,1.81836,0.76693,0.82355,0.67763,0.85994,0.70416,0.36329,0.29961,2.98749,0.14318,0.0010892,0.0010892,0.0010892
48,614.604,1.8363,0.76218,0.8128,0.8602,0.84545,0.86928,0.43615,0.2975,30.7488,0.14376,0.0010694,0.0010694,0.0010694
49,626.313,1.79839,0.7507,0.82053,0.73692,0.84034,0.74498,0.39457,0.30178,10.4956,0.14464,0.0010496,0.0010496,0.0010496
50,637.955,1.78662,0.73785,0.81583,0.72281,0.79091,0.77045,0.39555,0.30978,1.46446,0.14612,0.0010298,0.0010298,0.0010298
51,650.289,1.73778,0.72769,0.82495,0.80305,0.77273,0.79241,0.42916,0.29043,63.7466,0.14701,0.00101,0.00101,0.00101
52,663.132,1.79945,0.75193,0.81665,0.91691,0.89091,0.9025,0.45772,0.29804,24.9666,0.14426,0.0009902,0.0009902,0.0009902
53,675.966,1.75947,0.72415,0.81477,0.76969,0.88182,0.88484,0.45547,0.29971,23.2957,0.14954,0.0009704,0.0009704,0.0009704
54,688.824,1.77742,0.73608,0.8091,0.85016,0.87687,0.90215,0.44605,0.30059,35.3686,0.14417,0.0009506,0.0009506,0.0009506
55,701.767,1.73005,0.71031,0.81249,0.75143,0.86364,0.80906,0.42567,0.30181,4.11474,0.14545,0.0009308,0.0009308,0.0009308
56,714.735,1.76091,0.71777,0.82563,0.70119,0.9,0.77379,0.41472,0.30289,5.92199,0.14541,0.000911,0.000911,0.000911
57,727.614,1.76771,0.71594,0.81693,0.85696,0.87141,0.87548,0.46742,0.29441,10.1007,0.14458,0.0008912,0.0008912,0.0008912
58,740.512,1.75701,0.7311,0.80629,0.79066,0.87273,0.86382,0.47881,0.28562,1.74415,0.14559,0.0008714,0.0008714,0.0008714
59,753.597,1.72246,0.69589,0.82222,0.68756,0.88182,0.77018,0.41943,0.29488,2.20448,0.14506,0.0008516,0.0008516,0.0008516
60,766.835,1.74193,0.71743,0.80588,0.91501,0.88086,0.89873,0.46342,0.29082,9.36977,0.14535,0.0008318,0.0008318,0.0008318
61,779.546,1.76399,0.72295,0.81804,0.89694,0.90909,0.89656,0.45535,0.30258,18.4052,0.14505,0.000812,0.000812,0.000812
62,791.094,1.77057,0.70448,0.80623,0.90261,0.89091,0.92564,0.49758,0.27785,3.02762,0.14338,0.0007922,0.0007922,0.0007922
63,802.779,1.72176,0.69013,0.80127,0.80718,0.83722,0.86547,0.46515,0.29259,8.67533,0.14455,0.0007724,0.0007724,0.0007724
64,815.023,1.73117,0.69391,0.81293,0.88023,0.86364,0.90382,0.46044,0.29978,1.18249,0.14725,0.0007526,0.0007526,0.0007526
65,827.936,1.70617,0.66402,0.80277,0.82755,0.91818,0.88428,0.47999,0.28419,1.88714,0.14372,0.0007328,0.0007328,0.0007328
66,840.871,1.75129,0.70073,0.81143,0.91433,0.82727,0.90331,0.46301,0.2918,23.7093,0.14467,0.000713,0.000713,0.000713
67,853.691,1.71485,0.71107,0.80768,0.88081,0.80909,0.88737,0.4773,0.29595,50.3764,0.14674,0.0006932,0.0006932,0.0006932
68,866.584,1.69262,0.6855,0.80697,0.89318,0.88182,0.88614,0.47616,0.2914,10.3249,0.14425,0.0006734,0.0006734,0.0006734
69,879.487,1.69093,0.67492,0.8031,0.71425,0.84079,0.78897,0.40164,0.30302,17.0972,0.1449,0.0006536,0.0006536,0.0006536
70,892.367,1.6897,0.65472,0.8105,0.85049,0.82745,0.87786,0.47964,0.28345,14.431,0.14492,0.0006338,0.0006338,0.0006338
71,905.209,1.6957,0.66708,0.79881,0.9017,0.9,0.90176,0.4692,0.29778,36.7292,0.14567,0.000614,0.000614,0.000614
72,918.217,1.6435,0.64832,0.80315,0.94062,0.91818,0.92104,0.51331,0.28355,9.77279,0.14346,0.0005942,0.0005942,0.0005942
73,931.139,1.67875,0.65987,0.80156,0.9036,0.91818,0.88821,0.47498,0.29025,26.0672,0.14453,0.0005744,0.0005744,0.0005744
74,944.004,1.64955,0.64323,0.79775,0.92419,0.87273,0.91623,0.50155,0.28613,8.46154,0.14271,0.0005546,0.0005546,0.0005546
75,955.646,1.66541,0.63572,0.79507,0.90643,0.9,0.89685,0.48026,0.29322,3.44314,0.14407,0.0005348,0.0005348,0.0005348
76,967.281,1.67388,0.64223,0.79633,0.90262,0.92727,0.91535,0.49241,0.28709,10.4498,0.14464,0.000515,0.000515,0.000515
77,979.616,1.62186,0.63111,0.79781,0.90262,0.81818,0.89611,0.48283,0.28914,39.9329,0.14492,0.0004952,0.0004952,0.0004952
78,992.708,1.64086,0.63089,0.80083,0.89196,0.93636,0.92018,0.50191,0.28486,5.02087,0.14279,0.0004754,0.0004754,0.0004754
79,1005.56,1.60805,0.63243,0.80342,0.87383,0.89091,0.87582,0.48969,0.29501,3.46818,0.14465,0.0004556,0.0004556,0.0004556
80,1018.53,1.64882,0.63974,0.80867,0.88601,0.9186,0.91193,0.4768,0.29249,3.43011,0.14539,0.0004358,0.0004358,0.0004358
81,1031.67,1.60384,0.62414,0.80386,0.85849,0.88243,0.89622,0.47662,0.28753,3.37687,0.14383,0.000416,0.000416,0.000416
82,1044.62,1.5889,0.62285,0.79815,0.89244,0.89091,0.89881,0.50178,0.28139,1.03951,0.14518,0.0003962,0.0003962,0.0003962
83,1057.68,1.61807,0.61901,0.80338,0.86713,0.88996,0.9078,0.48699,0.29367,2.54687,0.14513,0.0003764,0.0003764,0.0003764
84,1070.86,1.56658,0.60404,0.80013,0.91442,0.90909,0.90219,0.49541,0.28741,2.11823,0.14479,0.0003566,0.0003566,0.0003566
85,1083.73,1.62404,0.62238,0.78957,0.80742,0.87667,0.874,0.48612,0.28491,15.0121,0.14489,0.0003368,0.0003368,0.0003368
86,1096.58,1.60985,0.62924,0.79965,0.85645,0.86787,0.89345,0.48229,0.28464,22.7472,0.14518,0.000317,0.000317,0.000317
87,1109.41,1.58762,0.6155,0.79671,0.88023,0.8686,0.89556,0.48514,0.28755,22.0162,0.14497,0.0002972,0.0002972,0.0002972
88,1121.06,1.58332,0.60428,0.79433,0.87608,0.89975,0.90009,0.49124,0.28853,15.8247,0.14443,0.0002774,0.0002774,0.0002774
89,1132.78,1.55797,0.59939,0.78655,0.91617,0.91818,0.92802,0.51186,0.28467,6.86023,0.14451,0.0002576,0.0002576,0.0002576
90,1145.05,1.57079,0.60389,0.80607,0.9101,0.92029,0.90818,0.48163,0.29348,5.91555,0.14505,0.0002378,0.0002378,0.0002378
91,1158.46,1.46195,0.59306,0.80945,0.9112,0.93636,0.90305,0.48793,0.28989,8.91662,0.14555,0.000218,0.000218,0.000218
92,1171.14,1.48218,0.5812,0.81008,0.90702,0.88679,0.90611,0.50288,0.28115,14.4851,0.14382,0.0001982,0.0001982,0.0001982
